Code,Cost
22800 ,"$6,992.00 "
22802 ,"$10,843.0"
22804 ,"$12,491.0"
22808 ,"$9,432.00 "
22810 ,"$10,425.0"
22830 ,"$4,199.00 "
22840 ,"$3,913.00 "
22841 ,"$1,008.00 "
22842 ,"$3,930.00 "
22843 ,"$4,200.00 "
22844 ,"$5,081.00 "
22845 ,"$3,749.00 "
22846 ,"$3,898.00 "
22847 ,"$2,868.00 "
22848 ,"$1,858.00 "
22849 ,"$6,699.00 "
22850 ,"$3,745.00 "
22851 ,"$2,125.00 "
22852 ,"$3,596.00 "
22853 ,"$1,086.00 "
22854 ,$907.00 
22855 ,"$5,697.00 "
22856 ,"$8,399.00 "
22858 ,"$2,633.00 "
22859 ,"$1,409.00 "
22867 ,"$3,587.00 "
22868 ,$641.00 
22869 ,"$1,409.00 "
22870 ,$374.00 
22900 ,"$1,518.00 "
22901 ,"$2,390.00 "
22902 ,"$1,153.00 "
22903 ,"$1,185.00 "
22904 ,"$3,731.00 "
22905 ,"$5,405.00 "
23030 ,"$1,209.00 "
23031 ,"$1,076.00 "
23035 ,"$2,436.00 "
23040 ,"$2,554.00 "
23044 ,"$1,639.00 "
23065 ,$654.00 
23066 ,"$1,514.00 "
23071 ,"$1,132.00 "
23073 ,"$2,440.00 "
23075 ,"$1,340.00 "
23076 ,"$1,457.00 "
23077 ,"$3,877.00 "
23078 ,"$3,875.00 "
23107 ,"$1,861.00 "
23120 ,"$1,807.00 "
23125 ,"$1,908.00 "
23130 ,"$1,946.00 "
23140 ,"$1,487.00 "
23146 ,"$2,237.00 "
23150 ,"$2,058.00 "
23156 ,"$1,863.00 "
23170 ,"$1,997.00 "
23174 ,"$2,723.00 "
23180 ,"$2,343.00 "
23182 ,"$2,370.00 "
23184 ,"$2,655.00 "
23195 ,"$2,692.00 "
23200 ,"$6,214.00 "
23220 ,"$7,000.00 "
23330 ,$772.00 
23333 ,"$1,186.00 "
23334 ,"$3,736.00 "
23335 ,"$4,545.00 "
23350 ,$794.00 
23395 ,"$4,545.00 "
23397 ,"$4,062.00 "
23400 ,"$3,345.00 "
23405 ,"$1,665.00 "
23406 ,"$2,761.00 "
23410 ,"$2,923.00 "
23412 ,"$3,109.00 "
23415 ,"$2,506.00 "
23420 ,"$3,433.00 "
23430 ,"$2,417.00 "
23440 ,"$2,721.00 "
23450 ,"$3,374.00 "
23455 ,"$3,340.00 "
23460 ,"$3,585.00 "
23462 ,"$3,503.00 "
23465 ,"$3,941.00 "
23466 ,"$3,992.00 "
23470 ,"$3,929.00 "
23472 ,"$5,781.00 "
23473 ,"$6,601.00 "
23474 ,"$6,840.00 "
23480 ,"$2,953.00 "
23485 ,"$3,124.00 "
23490 ,"$3,070.00 "
23491 ,"$3,618.00 "
23500 ,$589.00 
23505 ,"$1,177.00 "
23515 ,"$1,935.00 "
23525 ,"$1,153.00 "
23530 ,"$1,828.00 "
23532 ,"$2,223.00 "
23540 ,$622.00 
23545 ,"$1,010.00 "
23550 ,"$2,099.00 "
23552 ,"$2,318.00 "
23570 ,$766.00 
23585 ,"$2,635.00 "
23600 ,"$1,119.00 "
23605 ,"$1,501.00 "
23615 ,"$2,398.00 "
23616 ,"$4,421.00 "
23620 ,$979.00 
23630 ,"$2,095.00 "
23650 ,$855.00 
23655 ,"$1,084.00 "
23660 ,"$1,909.00 "
23665 ,"$1,496.00 "
23670 ,"$3,100.00 "
23675 ,"$1,787.00 "
23700 ,$641.00 
23800 ,"$3,298.00 "
23900 ,"$5,694.00 "
23920 ,"$4,035.00 "
23930 ,$953.00 
23931 ,"$1,010.00 "
23935 ,"$1,796.00 "
24000 ,"$1,482.00 "
24006 ,"$2,266.00 "
24065 ,$690.00 
24066 ,"$1,664.00 "
24071 ,"$1,093.00 "
24073 ,"$4,488.00 "
24075 ,"$1,386.00 "
24076 ,"$1,462.00 "
24077 ,"$3,239.00 "
24079 ,"$4,968.00 "
24101 ,"$1,750.00 "
24102 ,"$2,290.00 "
24105 ,"$1,046.00 "
24110 ,"$1,909.00 "
24116 ,"$3,073.00 "
24120 ,"$1,663.00 "
24130 ,"$1,619.00 "
24138 ,"$1,827.00 "
24140 ,"$2,467.00 "
24147 ,"$2,132.00 "
24149 ,"$3,414.00 "
24150 ,"$5,495.00 "
24160 ,"$3,384.00 "
24164 ,"$2,585.00 "
24200 ,$578.00 
24201 ,"$1,928.00 "
24220 ,$719.00 
24300 ,"$1,141.00 "
24301 ,"$2,655.00 "
24305 ,"$1,875.00 "
24310 ,"$1,545.00 "
24320 ,"$2,782.00 "
24332 ,"$1,845.00 "
24340 ,"$1,969.00 "
24341 ,"$2,163.00 "
24342 ,"$2,549.00 "
24343 ,"$2,336.00 "
24344 ,"$3,865.00 "
24345 ,"$1,885.00 "
24346 ,"$3,890.00 "
24357 ,"$1,116.00 "
24358 ,"$1,575.00 "
24359 ,"$1,934.00 "
24360 ,"$3,187.00 "
24363 ,"$4,994.00 "
24365 ,"$2,303.00 "
24366 ,"$2,212.00 "
24370 ,"$6,297.00 "
24371 ,"$7,339.00 "
24400 ,"$2,666.00 "
24430 ,"$3,020.00 "
24435 ,"$3,203.00 "
24495 ,"$2,248.00 "
24498 ,"$3,103.00 "
24500 ,"$1,116.00 "
24505 ,"$1,630.00 "
24515 ,"$2,804.00 "
24516 ,"$2,776.00 "
24530 ,"$1,157.00 "
24535 ,"$2,007.00 "
24538 ,"$2,403.00 "
24545 ,"$2,522.00 "
24546 ,"$3,620.00 "
24560 ,$879.00 
24565 ,"$1,439.00 "
24566 ,"$2,539.00 "
24575 ,"$2,531.00 "
24576 ,"$1,012.00 "
24577 ,"$1,752.00 "
24579 ,"$2,734.00 "
24582 ,"$2,323.00 "
24586 ,"$3,837.00 "
24587 ,"$3,840.00 "
24600 ,"$1,276.00 "
24605 ,"$1,412.00 "
24615 ,"$2,289.00 "
24620 ,"$1,737.00 "
24635 ,"$3,620.00 "
24640 ,$345.00 
24650 ,$865.00 
24655 ,"$1,452.00 "
24665 ,"$2,076.00 "
24666 ,"$2,393.00 "
24670 ,$905.00 
24675 ,"$1,229.00 "
24685 ,"$2,175.00 "
24800 ,"$2,958.00 "
24802 ,"$3,595.00 "
24900 ,"$2,635.00 "
24920 ,"$2,551.00 "
24925 ,"$1,773.00 "
25000 ,"$1,331.00 "
25001 ,$920.00 
25020 ,"$2,056.00 "
25023 ,"$4,302.00 "
25024 ,"$2,268.00 "
25025 ,"$4,328.00 "
25028 ,"$1,777.00 "
25035 ,"$1,567.00 "
25040 ,"$1,919.00 "
25065 ,"$1,922.00 "
25066 ,"$1,468.00 "
25071 ,"$1,141.00 "
25073 ,"$1,437.00 "
25075 ,"$1,353.00 "
25076 ,"$1,389.00 "
25077 ,"$2,389.00 "
